0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
0.0,3.0,0.0,2.0,3.0,0.0,3.0,3.0,3.0
2.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0
2.0,5.0,4.0,0.0,5.0,4.0,5.0,5.0,4.0
1.0,2.0,5.0,4.0,6.0,5.0,2.0,6.0,5.0
1.0,6.0,6.0,2.0,7.0,6.0,6.0,7.0,6.0
0.0,7.0,0.0,2.0,0.0,0.0,3.0,8.0,2.0
1.0,6.0,7.0,4.0,8.0,7.0,6.0,9.0,7.0
1.0,8.0,8.0,1.0,9.0,8.0,6.0,2.0,8.0
0.0,5.0,9.0,5.0,10.0,9.0,5.0,10.0,3.0
0.0,9.0,8.0,1.0,11.0,0.0,7.0,11.0,9.0
1.0,10.0,5.0,1.0,2.0,10.0,8.0,12.0,3.0
1.0,7.0,9.0,6.0,12.0,9.0,5.0,11.0,3.0
0.0,11.0,10.0,7.0,13.0,2.0,9.0,13.0,10.0
2.0,1.0,11.0,0.0,14.0,3.0,4.0,5.0,1.0
1.0,3.0,12.0,6.0,15.0,8.0,7.0,14.0,3.0
0.0,12.0,13.0,3.0,16.0,1.0,4.0,15.0,1.0
0.0,13.0,14.0,6.0,17.0,9.0,5.0,5.0,2.0
0.0,1.0,11.0,0.0,18.0,1.0,10.0,16.0,9.0
2.0,14.0,11.0,6.0,1.0,11.0,1.0,17.0,3.0
1.0,15.0,7.0,8.0,19.0,12.0,11.0,18.0,10.0
1.0,6.0,5.0,1.0,20.0,13.0,11.0,12.0,2.0
1.0,16.0,15.0,9.0,21.0,14.0,12.0,19.0,3.0
1.0,15.0,7.0,1.0,22.0,15.0,13.0,20.0,9.0
1.0,17.0,16.0,10.0,23.0,16.0,14.0,21.0,9.0
0.0,18.0,7.0,1.0,22.0,17.0,15.0,21.0,10.0
0.0,19.0,17.0,11.0,19.0,16.0,16.0,22.0,0.0
0.0,20.0,6.0,1.0,24.0,16.0,15.0,12.0,9.0
0.0,17.0,17.0,9.0,23.0,16.0,17.0,6.0,3.0
1.0,21.0,18.0,9.0,25.0,18.0,18.0,23.0,0.0
0.0,22.0,19.0,9.0,26.0,19.0,19.0,24.0,11.0
1.0,21.0,20.0,9.0,27.0,20.0,20.0,23.0,7.0
1.0,23.0,20.0,12.0,28.0,21.0,21.0,25.0,12.0
0.0,7.0,9.0,6.0,12.0,22.0,22.0,5.0,4.0
1.0,10.0,17.0,8.0,29.0,23.0,23.0,26.0,6.0
1.0,13.0,9.0,6.0,3.0,5.0,22.0,10.0,4.0
1.0,20.0,7.0,1.0,30.0,15.0,24.0,7.0,9.0
0.0,1.0,13.0,0.0,31.0,24.0,7.0,17.0,2.0
1.0,13.0,12.0,6.0,32.0,8.0,7.0,5.0,2.0
1.0,6.0,6.0,1.0,33.0,17.0,24.0,18.0,8.0
2.0,24.0,21.0,13.0,34.0,25.0,25.0,27.0,13.0
2.0,25.0,22.0,13.0,35.0,25.0,26.0,28.0,13.0
2.0,26.0,22.0,13.0,35.0,26.0,26.0,28.0,14.0
2.0,27.0,13.0,0.0,4.0,3.0,1.0,16.0,1.0
0.0,7.0,0.0,2.0,36.0,6.0,15.0,10.0,2.0
1.0,0.0,8.0,2.0,37.0,27.0,3.0,0.0,1.0
2.0,28.0,3.0,14.0,38.0,11.0,27.0,4.0,15.0
1.0,8.0,6.0,8.0,39.0,28.0,11.0,29.0,2.0
2.0,8.0,5.0,2.0,40.0,5.0,3.0,11.0,4.0
0.0,29.0,14.0,0.0,41.0,24.0,10.0,15.0,1.0
